Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,10114001,true,Rx,0,8,20,23,23,C7,2F,DC,DC,DC,
0,10114001,true,Rx,0,8,DC,2C,26,23,23,23,23,7B,
0,10114001,true,Rx,0,8,21,23,23,23,23,23,23,23,
0,10114001,true,Rx,0,8,23,23,23,23,23,23,23,9F,
0,10214001,true,Rx,0,1,3E,00,00,00,00,00,00,00,
0,00441406,true,Rx,0,8,07,AA,02,05,00,F4,2C,A3,
0,00841406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C41406,true,Rx,0,8,07,03,13,5C,A3,A3,A3,A3,
0,01041406,true,Rx,0,3,02,61,F7,00,00,00,00,00,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,A4,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,A4,30,A0,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,A5,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,A5,F5,50,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00451406,true,Rx,0,8,07,AA,02,0C,00,49,2C,A6,
0,00851406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C51406,true,Rx,0,8,07,03,23,B6,81,A6,A6,A6,
0,01051406,true,Rx,0,8,07,C2,B2,A7,A7,A6,A6,A6,
0,01451406,true,Rx,0,3,02,58,DF,00,00,00,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,A7,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,03,27,A6,38,D9,00,00,
0,00431406,true,Rx,0,8,07,AA,02,02,00,9F,2C,A8,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,7,06,03,10,AA,AC,07,BB,00,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,A9,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,A9,CA,C9,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,AA,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,AA,85,40,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,AB,
0,00861403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,AB,A8,54,AB,AB,
0,01061403,true,Rx,0,8,07,AB,AB,AB,AB,AB,AB,AB,
0,01461403,true,Rx,0,8,07,AB,AB,AB,AB,AB,AB,AB,
0,01861403,true,Rx,0,7,06,AB,AB,AB,AB,9D,1E,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,AC,
0,00861406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,AC,AF,53,AC,AC,
0,01061406,true,Rx,0,8,07,AC,AC,AC,AC,AC,AC,AC,
0,01461406,true,Rx,0,8,07,AC,AC,AC,AC,AC,AC,AC,
0,01861406,true,Rx,0,7,06,AC,AC,AC,AC,A0,2C,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,24,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,10114001,true,Rx,0,8,03,30,24,27,DB,24,24,24,
0,10114001,true,Rx,0,8,24,24,24,24,24,24,24,24,
0,10114001,true,Rx,0,8,24,24,24,24,24,24,24,24,
0,10214001,true,Rx,0,3,24,E5,6A,00,00,00,00,00,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,AD,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,AD,DE,3A,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,AE,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,AE,91,B3,00,00,
0,00441406,true,Rx,0,8,07,AA,02,05,00,F4,2C,AF,
0,00841406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C41406,true,Rx,0,8,07,03,13,50,AF,AF,AF,AF,
0,01041406,true,Rx,0,3,02,BB,A5,00,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,B0,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,B0,71,5F,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,B1,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,B1,B4,AF,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00431406,true,Rx,0,8,07,AA,02,02,00,9F,2C,B2,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,7,06,03,10,B0,B6,54,F7,00,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,B3,
0,00831403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,B3,3E,1A,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,B4,
0,00831406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,B4,65,60,00,00,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,B5,
0,00861403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,B5,B6,4A,B5,B5,
0,01061403,true,Rx,0,8,07,B5,B5,B5,B5,B5,B5,B5,
0,01461403,true,Rx,0,8,07,B5,B5,B5,B5,B5,B5,B5,
0,01861403,true,Rx,0,7,06,B5,B5,B5,B5,6F,C1,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,B6,
0,00861406,true,Rx,0,8,07,20,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,B6,B5,49,B6,B6,
0,01061406,true,Rx,0,8,07,B6,B6,B6,B6,B6,B6,B6,
0,01461406,true,Rx,0,8,07,B6,B6,B6,B6,B6,B6,B6,
0,01861406,true,Rx,0,7,06,B6,B6,B6,B6,BF,1D,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,25,E5,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,10114001,true,Rx,0,8,03,30,25,26,DA,25,25,25,
0,10114001,true,Rx,0,8,25,25,25,25,25,25,25,25,
0,10114001,true,Rx,0,8,25,25,25,25,25,25,25,25,
0,10214001,true,Rx,0,3,25,1E,A1,00,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,004D1403,true,Rx,0,8,07,AA,02,45,00,AF,2D,B7,
0,008D1403,true,Rx,0,8,07,20,09,00,01,4B,14,03,
0,00CD1403,true,Rx,0,8,07,03,2F,B6,F2,B7,FF,E0,
0,010D1403,true,Rx,0,8,07,82,86,ED,FC,FF,83,E4,
