Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,008B0314,true,Rx,0,8,07,25,09,00,01,4B,03,14,
0,00CB0314,true,Rx,0,8,07,03,30,F1,E1,55,F1,F1,
0,010B0314,true,Rx,0,8,07,F1,F1,F1,F1,EE,3D,F1,
0,014B0314,true,Rx,0,8,07,F1,F2,03,0E,0E,C2,E6,
0,018B0314,true,Rx,0,8,07,F1,F1,A4,F1,F1,F1,E8,
0,01CB0314,true,Rx,0,8,07,F0,35,FD,F1,F1,31,FD,
0,020B0314,true,Rx,0,8,07,F1,F1,EA,E9,28,BC,F1,
0,024B0314,true,Rx,0,8,07,F1,48,E2,F1,F1,F1,F1,
0,028B0314,true,Rx,0,8,07,F1,F1,F1,F1,F1,F1,26,
0,02CB0314,true,Rx,0,8,01,79,00,00,00,00,00,00,
0,00460306,true,Rx,0,8,07,AA,02,17,00,89,2C,F2,
0,00860306,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,00C60306,true,Rx,0,8,07,03,30,F2,F1,F2,48,F2,
0,01060306,true,Rx,0,8,07,F2,F2,F2,F2,F2,F2,F2,
0,01460306,true,Rx,0,8,07,F2,F2,F2,F2,F2,F2,F2,
0,01860306,true,Rx,0,8,06,F2,F2,F2,F2,4F,40,00,
0,00430306,true,Rx,0,8,07,AA,02,01,00,A0,2C,F3,
0,00830306,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,00C30306,true,Rx,0,8,05,03,27,F2,3D,07,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00440306,true,Rx,0,8,07,AA,02,05,00,F4,2C,00,
0,00840306,true,Rx,0,8,07,00,00,00,00,00,03,06,
0,00C40306,true,Rx,0,8,07,03,13,00,02,01,19,00,
0,01040306,true,Rx,0,8,02,43,90,00,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,F4,
0,00861403,true,Rx,0,8,07,25,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,F4,F7,F4,4F,F4,
0,01061403,true,Rx,0,8,07,F4,F4,F4,F4,F4,F4,F4,
0,01461403,true,Rx,0,8,07,F4,F4,F4,F4,F4,F4,F4,
0,01861403,true,Rx,0,7,06,F4,F4,F4,F4,F5,68,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,F5,
0,00861406,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,F5,F6,F5,4E,F5,
0,01061406,true,Rx,0,8,07,F5,F5,F5,F5,F5,F5,F5,
0,01461406,true,Rx,0,8,07,F5,F5,F5,F5,F5,F5,F5,
0,01861406,true,Rx,0,7,06,F5,F5,F5,F5,52,63,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,02,E7,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,10114001,true,Rx,0,8,03,30,02,01,02,B9,02,02,
0,10114001,true,Rx,0,8,02,02,02,02,02,02,02,02,
0,10114001,true,Rx,0,8,02,02,02,02,02,02,02,02,
0,10214001,true,Rx,0,3,02,5E,67,00,00,00,00,00,
0,004B0314,true,Rx,0,8,07,AA,02,35,00,0D,2E,F4,
0,008B0314,true,Rx,0,8,07,25,09,00,01,4B,03,14,
0,00CB0314,true,Rx,0,8,07,03,30,F4,E4,50,F4,F4,
0,010B0314,true,Rx,0,8,07,F4,F4,F4,F4,EB,38,F4,
0,014B0314,true,Rx,0,8,07,F4,F7,06,0B,0B,C7,E3,
0,018B0314,true,Rx,0,8,07,F4,F4,A1,F4,F4,F4,ED,
0,01CB0314,true,Rx,0,8,07,F5,30,F8,F4,F4,34,F8,
0,020B0314,true,Rx,0,8,07,F4,F4,EF,EC,2D,B9,F4,
0,024B0314,true,Rx,0,8,07,F4,4D,E7,F4,F4,F4,F4,
0,028B0314,true,Rx,0,8,07,F4,F4,F4,F4,F4,F4,F9,
0,02CB0314,true,Rx,0,8,01,90,00,00,00,00,00,00,
0,00460306,true,Rx,0,8,07,AA,02,17,00,89,2C,F5,
0,00860306,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,00C60306,true,Rx,0,8,07,03,30,F5,F6,F5,4E,F5,
0,01060306,true,Rx,0,8,07,F5,F5,F5,F5,F5,F5,F5,
0,01460306,true,Rx,0,8,07,F5,F5,F5,F5,F5,F5,F5,
0,01860306,true,Rx,0,8,06,F5,F5,F5,F5,52,63,00,
0,00450306,true,Rx,0,8,07,AA,02,0C,00,49,2C,00,
0,00850306,true,Rx,0,8,07,00,00,00,00,00,03,06,
0,00C50306,true,Rx,0,8,07,03,23,00,00,01,00,01,
0,01050306,true,Rx,0,8,07,64,14,00,01,00,01,00,
0,01450306,true,Rx,0,8,02,AC,04,00,00,00,00,00,
0,00480306,true,Rx,0,8,07,AA,02,21,00,0E,2F,00,
0,00880306,true,Rx,0,8,07,00,00,00,02,00,03,06,
0,00C80306,true,Rx,0,8,07,03,0D,01,00,00,00,00,
0,01080306,true,Rx,0,8,07,00,00,00,00,00,00,00,
0,01480306,true,Rx,0,8,07,00,00,00,00,00,00,00,
0,01880306,true,Rx,0,8,07,00,00,00,00,00,00,00,
0,01C80306,true,Rx,0,8,07,00,00,00,00,00,00,00,
0,02080306,true,Rx,0,8,02,38,8A,00,00,00,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,004D1403,true,Rx,0,8,07,AA,02,45,00,AF,2D,F6,
0,008D1403,true,Rx,0,8,07,25,09,00,01,4B,14,03,
0,00CD1403,true,Rx,0,8,07,03,2F,F7,B3,F6,BE,A1,
0,010D1403,true,Rx,0,8,07,C3,C7,AC,BD,BE,C2,A5,
0,014D1403,true,Rx,0,8,07,B0,C3,A6,C6,CE,C3,C5,
0,018D1403,true,Rx,0,8,07,BD,F6,F7,F6,F7,F1,F5,
0,01CD1403,true,Rx,0,8,07,F6,F3,F4,F7,F6,F3,F6,
0,020D1403,true,Rx,0,8,07,F6,F6,F6,F6,F6,F5,F7,
0,024D1403,true,Rx,0,8,07,F7,12,FA,F6,09,09,09,
0,028D1403,true,Rx,0,8,07,F9,A8,F6,F6,F6,F6,AE,
0,02CD1403,true,Rx,0,8,07,F4,F6,F6,4F,F6,F6,F6,
0,030D1403,true,Rx,0,8,07,F6,F6,F6,F6,F6,F6,F6,
0,034D1403,true,Rx,0,4,03,F6,82,FD,00,00,00,00,
0,004D1406,true,Rx,0,8,07,AA,02,45,00,AF,2D,F7,
0,008D1406,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,00CD1406,true,Rx,0,8,07,03,2F,F6,B2,F7,BF,A0,
0,010D1406,true,Rx,0,8,07,C2,C6,AD,BC,BF,C3,A4,
0,014D1406,true,Rx,0,8,07,B1,C2,A7,C7,CF,C2,C4,
0,018D1406,true,Rx,0,8,07,BC,F7,F6,F7,F6,F0,F4,
0,01CD1406,true,Rx,0,8,07,F7,F2,F5,F6,F7,F2,F7,
0,020D1406,true,Rx,0,8,07,F7,F7,F7,F7,F7,F4,F6,
0,024D1406,true,Rx,0,8,07,F6,13,FB,F7,08,08,08,
0,028D1406,true,Rx,0,8,07,F8,A9,F7,F7,F7,F7,AF,
0,02CD1406,true,Rx,0,8,07,F5,F7,F7,4E,F7,F7,F7,
0,030D1406,true,Rx,0,8,07,F7,F7,F7,F7,F7,F7,F7,
0,034D1406,true,Rx,0,4,03,F7,CD,22,00,00,00,00,
0,10014001,true,Rx,0,8,AA,03,45,00,C4,2D,03,E7,
0,10114001,true,Rx,0,8,03,00,01,4B,14,03,01,01,
0,10114001,true,Rx,0,8,03,2F,02,46,03,4B,54,36,
0,10114001,true,Rx,0,8,32,59,48,4B,37,50,45,36,
0,10114001,true,Rx,0,8,53,33,3B,36,30,48,03,02,
0,00560314,true,Rx,0,8,07,AA,02,84,00,57,2E,F6,
0,10114001,true,Rx,0,8,03,02,04,00,03,06,01,02,
0,00960314,true,Rx,0,8,07,25,09,00,01,4B,03,14,
0,10114001,true,Rx,0,8,03,06,03,03,03,03,03,03,
0,00D60314,true,Rx,0,8,07,03,2F,F7,72,F6,A4,C5,
0,10114001,true,Rx,0,8,00,02,02,E7,0F,03,FC,FC,
0,01160314,true,Rx,0,8,07,C5,C7,AC,BD,B4,C3,A5,
0,10114001,true,Rx,0,8,FC,0C,5D,03,03,03,03,5B,
0,01560314,true,Rx,0,8,07,B1,CF,A0,C7,C2,C7,C5,
0,10114001,true,Rx,0,8,01,03,03,BA,03,03,03,03,
0,01960314,true,Rx,0,8,07,09,09,09,09,F7,84,F4,
0,10114001,true,Rx,0,8,03,03,03,03,03,03,03,E1,
0,01D60314,true,Rx,0,8,07,FD,F4,F7,F6,FD,F4,F4,
0,10214001,true,Rx,0,1,AF,00,00,00,00,00,00,00,
0,02160314,true,Rx,0,8,07,F7,F4,F6,3E,F6,F6,F4,
0,02560314,true,Rx,0,8,07,F1,23,21,F6,F6,F6,F6,
0,02960314,true,Rx,0,8,07,F6,F6,F7,F6,F4,CD,4E,
0,02D60314,true,Rx,0,8,07,3C,B7,EF,EB,3A,F6,F6,
0,03160314,true,Rx,0,8,07,D3,04,09,09,F6,F7,F6,
0,03560314,true,Rx,0,8,07,F6,F6,F7,F6,F6,F6,F7,
0,03960314,true,Rx,0,8,07,F6,F6,F6,F6,F6,F6,F6,
0,03D60314,true,Rx,0,8,07,F6,F6,F6,F6,F6,F6,F6,
0,04160314,true,Rx,0,8,07,F6,F6,F6,F6,F6,F6,F6,
0,04560314,true,Rx,0,8,07,F6,F6,F6,F6,F6,F6,F6,
0,04960314,true,Rx,0,8,07,F6,F6,F6,F6,F6,F6,F6,
0,04D60314,true,Rx,0,8,07,F6,F6,F6,F6,ED,EE,D6,
0,05160314,true,Rx,0,8,07,B8,F6,F6,C5,E1,F6,F6,
0,05560314,true,Rx,0,8,07,A3,F6,F6,F6,92,E2,F6,
0,05960314,true,Rx,0,8,03,92,46,30,00,00,00,00,
0,004D0306,true,Rx,0,8,07,AA,02,45,00,AF,2D,F7,
0,008D0306,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,00CD0306,true,Rx,0,8,07,03,2F,F6,B2,F7,BF,A0,
0,010D0306,true,Rx,0,8,07,C2,C6,AD,BC,BF,C3,A4,
0,014D0306,true,Rx,0,8,07,B1,C2,A7,C7,CF,C2,C4,
0,018D0306,true,Rx,0,8,07,BC,F7,F6,F7,F6,F0,F4,
0,01CD0306,true,Rx,0,8,07,F7,F2,F5,F6,F7,F2,F7,
0,020D0306,true,Rx,0,8,07,F7,F7,F7,F7,F7,F4,F6,
0,024D0306,true,Rx,0,8,07,F6,13,FB,F7,08,08,08,
0,028D0306,true,Rx,0,8,07,F8,A9,F7,F7,F7,F7,AF,
0,02CD0306,true,Rx,0,8,07,F5,F7,F7,4E,F7,F7,F7,
0,030D0306,true,Rx,0,8,07,F7,F7,F7,F7,F7,F7,F7,
0,034D0306,true,Rx,0,8,03,F7,CD,22,00,00,00,00,
0,00430306,true,Rx,0,8,07,AA,02,02,00,9F,2C,00,
0,00830306,true,Rx,0,8,07,00,00,00,00,00,03,06,
0,00C30306,true,Rx,0,8,06,03,10,01,01,99,28,00,
0,00431403,true,Rx,0,8,07,AA,02,01,00,A0,2C,F8,
0,00831403,true,Rx,0,8,07,25,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,6,05,01,50,F8,1E,D8,00,00,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,F9,
0,00831406,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,00C31406,true,Rx,0,6,05,01,50,F9,DB,28,00,00,
0,00430314,true,Rx,0,8,07,AA,02,01,00,A0,2E,F8,
0,00830314,true,Rx,0,8,07,25,09,00,01,4B,03,14,
0,00C30314,true,Rx,0,8,05,01,50,F9,57,68,00,00,
0,00430306,true,Rx,0,8,07,AA,02,01,00,A0,2C,F9,
0,00830306,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,00C30306,true,Rx,0,8,05,01,50,F9,DB,28,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,10014001,true,Rx,0,8,AA,13,61,01,9B,2D,60,36,
0,10114001,true,Rx,0,8,00,00,02,4B,35,01,01,01,
0,10114001,true,Rx,0,8,14,04,68,61,70,60,78,61,
0,10114001,true,Rx,0,8,40,60,48,60,50,60,58,04,
0,10114001,true,Rx,0,8,20,74,28,60,30,60,38,61,
0,10114001,true,Rx,0,8,00,8C,73,08,60,10,60,18,
0,10114001,true,Rx,0,8,86,64,E0,61,9A,9F,9F,9F,
0,10114001,true,Rx,0,8,9F,9F,9F,9F,9F,61,E8,61,
0,10114001,true,Rx,0,8,94,BE,41,F0,61,60,F8,61,
0,10114001,true,Rx,0,8,63,C0,61,60,C8,61,65,D0,
0,10114001,true,Rx,0,8,61,DA,73,D8,61,60,A0,61,
0,10114001,true,Rx,0,8,B0,48,A8,61,60,B0,61,90,
0,10114001,true,Rx,0,8,4E,B8,61,B7,54,80,61,A0,
0,10114001,true,Rx,0,8,5E,88,61,61,90,61,61,98,
0,10114001,true,Rx,0,8,61,7B,E0,62,98,EF,62,E8,
0,10114001,true,Rx,0,8,62,63,F0,62,2B,F8,62,40,
0,10114001,true,Rx,0,8,C0,62,F7,94,82,7D,C8,62,
0,10114001,true,Rx,0,8,61,A0,62,60,A8,62,60,B0,
0,10114001,true,Rx,0,8,62,A0,B1,E2,98,9A,9F,9F,
0,10114001,true,Rx,0,8,9F,9F,61,B8,62,61,80,62,
0,10114001,true,Rx,0,8,60,88,62,8E,73,90,62,60,
0,10114001,true,Rx,0,8,98,62,60,E0,63,60,E8,63,
0,10114001,true,Rx,0,8,60,F0,63,60,C0,63,AF,9F,
0,10114001,true,Rx,0,8,9F,9F,9F,9F,9F,9F,9F,61,
0,10114001,true,Rx,0,8,C8,63,60,D0,63,62,D8,63,
0,10114001,true,Rx,0,8,61,A0,63,62,A8,63,60,B0,
0,10114001,true,Rx,0,8,63,62,B8,63,60,80,63,61,
0,10114001,true,Rx,0,8,88,63,61,90,63,9F,9F,63,
0,10114001,true,Rx,0,8,98,63,9F,9F,63,EA,64,EA,
0,10114001,true,Rx,0,8,61,70,61,78,62,48,92,E4,
0,10114001,true,Rx,0,8,CC,70,50,7A,58,8C,FB,63,
0,10114001,true,Rx,0,8,20,FB,64,28,7A,30,61,38,
0,10114001,true,Rx,0,8,C0,FC,61,00,95,46,08,82,
0,10114001,true,Rx,0,8,FB,61,10,D0,E5,63,18,03,
0,10114001,true,Rx,0,8,E0,61,82,79,E8,61,BF,79,
0,10114001,true,Rx,0,8,F0,61,7A,F8,61,77,C0,61,
0,10114001,true,Rx,0,8,7D,C8,61,7D,A0,61,8C,FA,
0,10114001,true,Rx,0,8,61,AD,61,2A,1D,AC,21,88,
0,10114001,true,Rx,0,8,61,61,90,61,61,98,61,61,
0,10114001,true,Rx,0,8,E0,62,FC,C8,63,E8,62,F8,
0,10114001,true,Rx,0,8,15,F8,62,04,C0,62,6D,C8,
0,10114001,true,Rx,0,8,62,79,D0,62,61,A0,62,D3,
0,10114001,true,Rx,0,8,4E,A8,62,31,B0,62,61,BD,
0,10114001,true,Rx,0,8,62,55,11,AB,21,88,62,61,
0,10114001,true,Rx,0,8,90,62,61,98,62,BF,F6,63,
0,10114001,true,Rx,0,8,E0,63,DB,C2,63,E8,63,74,
0,10214001,true,Rx,0,5,F8,63,04,CD,BE,00,00,00,
0,00461403,true,Rx,0,8,07,AA,02,17,00,89,2C,FA,
0,00861403,true,Rx,0,8,07,25,09,00,01,4B,14,03,
0,00C61403,true,Rx,0,8,07,03,30,FA,F9,FA,43,FA,
0,01061403,true,Rx,0,8,07,FA,FA,FA,FA,FA,FA,FA,
0,01461403,true,Rx,0,8,07,FA,FA,FA,FA,FA,FA,FA,
0,01861403,true,Rx,0,7,06,FA,FA,FA,FA,CF,2E,00,
0,00461406,true,Rx,0,8,07,AA,02,17,00,89,2C,FB,
0,00861406,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,00C61406,true,Rx,0,8,07,03,30,FB,F8,FB,42,FB,
0,01061406,true,Rx,0,8,07,FB,FB,FB,FB,FB,FB,FB,
0,01461406,true,Rx,0,8,07,FB,FB,FB,FB,FB,FB,FB,
0,01861406,true,Rx,0,7,06,FB,FB,FB,FB,68,25,00,
0,10014001,true,Rx,0,8,AA,03,17,00,E2,2C,04,E7,
0,004B0314,true,Rx,0,8,07,AA,02,35,00,0D,2E,FA,
0,10114001,true,Rx,0,8,03,00,01,4B,14,06,01,01,
0,008B0314,true,Rx,0,8,07,25,09,00,01,4B,03,14,
0,10114001,true,Rx,0,8,03,30,04,07,04,BD,04,04,
0,00CB0314,true,Rx,0,8,07,03,30,FA,EA,5E,FA,FA,
0,10114001,true,Rx,0,8,04,04,04,04,04,04,04,04,
0,010B0314,true,Rx,0,8,07,FA,FA,FA,FA,E5,36,FA,
0,10114001,true,Rx,0,8,04,04,04,04,04,04,04,04,
0,014B0314,true,Rx,0,8,07,FA,F9,08,05,05,C9,ED,
0,10214001,true,Rx,0,3,04,3B,BD,00,00,00,00,00,
0,018B0314,true,Rx,0,8,07,FA,FA,AF,FA,FA,FA,E3,
0,00431406,true,Rx,0,8,07,AA,02,01,00,A0,2C,FC,
0,01CB0314,true,Rx,0,8,07,FB,3E,F6,FA,FA,3A,F6,
0,00831406,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,020B0314,true,Rx,0,8,07,FA,FA,E1,E2,23,B7,FA,
0,00C31406,true,Rx,0,6,05,03,27,FD,4D,17,00,00,
0,024B0314,true,Rx,0,8,07,FA,43,E9,FA,FA,FA,FA,
0,028B0314,true,Rx,0,8,07,FA,FA,FA,FA,FA,FA,09,
0,02CB0314,true,Rx,0,8,01,1D,00,00,00,00,00,00,
0,00460306,true,Rx,0,8,07,AA,02,17,00,89,2C,FB,
0,00860306,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,00C60306,true,Rx,0,8,07,03,30,FB,F8,FB,42,FB,
0,01060306,true,Rx,0,8,07,FB,FB,FB,FB,FB,FB,FB,
0,01460306,true,Rx,0,8,07,FB,FB,FB,FB,FB,FB,FB,
0,01860306,true,Rx,0,8,06,FB,FB,FB,FB,68,25,00,
0,00430306,true,Rx,0,8,07,AA,02,01,00,A0,2C,FC,
0,00830306,true,Rx,0,8,07,25,09,00,01,4B,14,06,
0,00C30306,true,Rx,0,8,05,03,27,FD,4D,17,00,00,
0,10614001,true,Rx,0,8,5E,8C,1A,BF,42,77,1B,C9,
0,00431403,true,Rx,0,8,07,AA,02,00,00,B5,2D,FD,
0,00831403,true,Rx,0,8,07,25,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,5,04,01,05,C1,FE,00,00,00,
0,00431403,true,Rx,0,8,07,AA,02,00,00,B5,2D,FE,
0,00831403,true,Rx,0,8,07,25,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,5,04,01,41,31,C2,00,00,00,
0,00431403,true,Rx,0,8,07,AA,02,00,00,B5,2D,FF,
0,00831403,true,Rx,0,8,07,25,09,00,01,4B,14,03,
0,00C31403,true,Rx,0,5,04,20,02,39,A6,00,00,00,
0,00490314,true,Rx,0,8,07,AA,02,2C,00,E7,2F,FD,
0,00890314,true,Rx,0,8,07,25,09,00,01,4B,03,14,
0,00C90314,true,Rx,0,8,07,01,05,AD,FD,FF,FD,FF,
0,01090314,true,Rx,0,8,07,F6,FF,8F,FC,FD,F6,FF,
0,01490314,true,Rx,0,8,07,B7,88,91,DD,CF,C4,DD,
0,01890314,true,Rx,0,8,07,CF,CD,CF,C9,DD,CC,C9,
0,01C90314,true,Rx,0,8,07,C7,CE,CA,C7,CE,CA,FD,
0,02090314,true,Rx,0,8,07,FD,FD,FD,FD,FD,FD,FD,
0,02490314,true,Rx,0,8,06,FD,FD,FD,FD,98,77,00,
0,00480314,true,Rx,0,8,07,AA,02,24,00,4F,2F,FE,
0,00880314,true,Rx,0,8,07,25,09,00,01,4B,03,14,
0,00C80314,true,Rx,0,8,07,01,41,01,01,01,01,01,
0,01080314,true,Rx,0,8,07,01,01,01,01,01,01,01,
0,01480314,true,Rx,0,8,07,01,01,01,01,01,01,01,
0,01880314,true,Rx,0,8,07,01,01,01,01,01,01,01,
0,01C80314,true,Rx,0,8,07,01,01,01,01,01,01,01,
0,02080314,true,Rx,0,8,05,01,01,01,62,F9,00,00,
0,00430342,true,Rx,0,8,07,AA,02,00,00,B5,2D,FF,
0,00830342,true,Rx,0,8,07,25,09,00,01,4B,03,42,
0,00C30342,true,Rx,0,8,04,03,19,35,3D,00,00,00,
0,004A0314,true,Rx,0,8,07,AA,02,2E,00,CD,2F,FF,
0,008A0314,true,Rx,0,8,07,25,09,00,01,4B,03,14,
0,00CA0314,true,Rx,0,8,07,20,02,FE,FE,FE,E3,2B,
0,010A0314,true,Rx,0,8,07,FF,FF,67,C5,FF,FF,FF,
0,014A0314,true,Rx,0,8,07,9B,F2,E6,FE,FF,CC,E8,
0,018A0314,true,Rx,0,8,07,FF,FF,AE,FF,FF,FF,FE,
0,01CA0314,true,Rx,0,8,07,CA,8E,34,BE,FC,FC,FF,
0,020A0314,true,Rx,0,8,07,FE,FE,A0,34,FF,FF,C4,
0,024A0314,true,Rx,0,8,07,2E,FF,FF,EB,FF,9B,45,
0,028A0314,true,Rx,0,8,01,BC,00,00,00,00,00,00,
0,005E0314,true,Rx,0,8,07,AA,02,BC,00,06,2F,FF,
0,009E0314,true,Rx,0,8,07,25,09,00,01,4B,03,14,
0,00DE0314,true,Rx,0,8,07,20,32,FF,FE,FD,FF,FF,
0,011E0314,true,Rx,0,8,07,FF,FF,8D,FD,F4,FD,E6,
0,015E0314,true,Rx,0,8,07,C9,33,FF,FF,A4,0E,00,
0,019E0314,true,Rx,0,8,07,00,E5,FE,DF,B1,FF,FF,
0,01DE0314,true,Rx,0,8,07,8A,EC,FF,FF,1D,B2,FF,
0,021E0314,true,Rx,0,8,07,FF,D9,FF,FF,FF,9C,3A,
0,025E0314,true,Rx,0,8,07,F3,3F,F3,E5,E8,E2,E2,
0,029E0314,true,Rx,0,8,07,FF,FF,93,B2,FF,FF,34,
0,02DE0314,true,Rx,0,8,07,2C,35,BE,FF,FF,FF,FF,
0,031E0314,true,Rx,0,8,07,FF,FF,FF,FF,FF,FF,FF,
0,035E0314,true,Rx,0,8,07,FF,FC,FF,FF,FA,FF,EF,
0,039E0314,true,Rx,0,8,07,3D,F3,3F,F3,3C,F3,3F,
0,03DE0314,true,Rx,0,8,07,F3,3A,F3,3F,F3,3A,F3,
0,041E0314,true,Rx,0,8,07,3F,F3,3C,F3,3F,F3,3B,
0,045E0314,true,Rx,0,8,07,F3,3F,F3,3C,F3,3F,F3,
0,049E0314,true,Rx,0,8,07,3C,F3,3E,F3,FC,FF,FF,
0,04DE0314,true,Rx,0,8,07,FF,FF,FF,FF,A9,CF,D1,
0,051E0314,true,Rx,0,8,07,CF,D1,CE,FC,FE,00,00,
0,055E0314,true,Rx,0,8,07,CF,CF,CF,CF,CF,CF,CF,
0,059E0314,true,Rx,0,8,07,CF,CF,CF,CF,CF,CF,CF,
0,05DE0314,true,Rx,0,8,07,CF,CF,AF,FD,FF,FF,1F,
0,061E0314,true,Rx,0,8,07,BE,FF,5B,C2,C0,94,34,
0,065E0314,true,Rx,0,8,07,35,BE,FE,FF,F4,FD,FD,
0,069E0314,true,Rx,0,8,07,FE,FF,FF,FF,FF,FF,FF,
0,06DE0314,true,Rx,0,8,07,FF,FF,B8,3F,F4,FF,43,
0,071E0314,true,Rx,0,8,07,DF,F4,FF,FF,FF,FF,FF,
0,075E0314,true,Rx,0,8,07,FF,FF,FF,FF,FF,B9,B8,
0,079E0314,true,Rx,0,8,03,B8,23,A4,00,00,00,00,
0,10014001,true,Rx,0,8,AA,13,C0,01,96,2D,61,36,
0,10114001,true,Rx,0,8,00,00,02,4B,35,01,01,01,
0,10114001,true,Rx,0,8,14,01,69,61,71,61,79,61,
0,10114001,true,Rx,0,8,41,61,49,61,51,61,59,61,
0,10114001,true,Rx,0,8,21,61,29,61,31,61,39,65,
0,10114001,true,Rx,0,8,01,65,09,64,11,62,19,67,
0,10114001,true,Rx,0,8,E1,60,A2,63,E9,60,C1,78,
0,10114001,true,Rx,0,8,F1,60,6A,F9,60,89,63,C1,
0,10114001,true,Rx,0,8,60,89,63,C9,60,A1,63,D1,
0,10114001,true,Rx,0,8,60,E0,78,D9,60,6A,A1,60,
0,10114001,true,Rx,0,8,93,63,A9,60,9D,63,B1,60,
0,10114001,true,Rx,0,8,E8,65,B9,60,C7,65,81,60,
0,10114001,true,Rx,0,8,61,89,60,A5,6F,91,60,E5,
0,10114001,true,Rx,0,8,63,99,60,78,E1,63,61,E9,
0,10114001,true,Rx,0,8,63,B6,40,F1,63,89,63,F9,
0,10114001,true,Rx,0,8,63,B2,41,C1,63,C2,72,C9,
0,10114001,true,Rx,0,8,63,DB,69,D1,63,FF,75,D9,
0,10114001,true,Rx,0,8,63,61,A1,63,92,62,B1,63,
0,10114001,true,Rx,0,8,63,B9,63,70,81,63,61,89,
0,10114001,true,Rx,0,8,63,61,91,63,A3,EF,60,99,
0,10114001,true,Rx,0,8,63,61,E1,62,FF,75,E9,62,
0,10114001,true,Rx,0,8,61,F1,62,61,F9,62,75,C1,
0,10114001,true,Rx,0,8,62,05,C9,62,60,D1,62,61,
0,10114001,true,Rx,0,8,D9,62,61,A1,62,D3,63,A9,
0,10114001,true,Rx,0,8,62,63,B1,62,A1,5F,B9,62,
0,10114001,true,Rx,0,8,D2,4F,81,62,34,89,62,60,
0,10114001,true,Rx,0,8,91,62,BB,64,99,62,61,E1,
0,10114001,true,Rx,0,8,65,61,E9,65,61,F1,65,FF,
0,10114001,true,Rx,0,8,75,F9,65,FF,75,C1,65,66,
0,10114001,true,Rx,0,8,C9,65,61,D1,65,61,D9,65,
0,10114001,true,Rx,0,8,61,A1,65,61,A9,65,61,B1,
0,10114001,true,Rx,0,8,65,95,BF,40,B9,65,61,81,
0,10114001,true,Rx,0,8,65,64,89,65,61,91,65,61,
0,10114001,true,Rx,0,8,99,65,A1,5F,E1,64,61,E9,
0,10114001,true,Rx,0,8,64,61,F1,64,FF,75,F9,64,
0,10114001,true,Rx,0,8,AE,9E,9E,9E,9E,9E,9E,9E,
0,10114001,true,Rx,0,8,9E,60,C1,64,61,C9,64,DB,
0,10114001,true,Rx,0,8,72,D1,64,B1,49,D9,64,91,
0,10114001,true,Rx,0,8,4F,F1,67,B6,55,F9,67,A1,
0,10114001,true,Rx,0,8,5F,C1,67,60,C9,67,7A,D1,
0,10114001,true,Rx,0,8,67,F6,95,83,7C,D9,67,60,
0,10114001,true,Rx,0,8,A1,67,A9,B1,B9,FE,62,A9,
0,10114001,true,Rx,0,8,67,E5,D8,A2,F7,6D,B1,67,
0,10114001,true,Rx,0,8,A1,B0,E3,99,9B,9E,9E,9E,
0,10114001,true,Rx,0,8,9E,60,B9,67,60,81,67,61,
0,10114001,true,Rx,0,8,89,67,8F,72,91,67,61,F9,
0,10114001,true,Rx,0,8,66,2A,C1,66,41,A1,66,B1,
0,10114001,true,Rx,0,8,49,A9,66,61,B9,66,90,38,
0,10114001,true,Rx,0,8,81,66,67,89,66,62,94,66,
0,10114001,true,Rx,0,8,79,CE,7D,28,D1,69,49,A1,
0,10114001,true,Rx,0,8,69,B5,9E,9E,9E,9E,9E,9E,
0,10114001,true,Rx,0,8,9E,9E,60,A9,69,61,B9,69,
